# TestSimulation (Up to date)
# 636 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,71.259,23.1,0.001,1.028e-5,9.792,NaN,25.981,NaN,0,0,0,0.875,0.681,0.073,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.974,90,15,1013.25,0.001,340.389,0.006,5.678e4,2.5,4.909,0.01,0.002,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,71.253,23.094,0.001,1.028e-5,9.792,NaN,25.98,NaN,0.305,0.437,0,0.873,0.679,0.073,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.997,90,15,1013.25,0.001,340.389,0.006,5.744e4,2.5,4.909,0.01,0.003,0
0.02,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,71.248,23.088,0.001,1.028e-5,9.792,NaN,25.979,NaN,0.61,0.875,0,0.87,0.677,0.073,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.02,90,15,1013.25,0.001,340.389,0.006,5.81e4,2.5,4.909,0.011,0.004,0
0.031,4.559e-5,4.559e-5,0.015,0.015,3.487,3.488,-4.038e-6,0,4.038e-6,270,9.199e-4,0.101,28.61,-80.6,89.589,0,0,0,90,0,71.241,23.082,0.001,1.028e-5,9.792,NaN,25.978,NaN,0.946,1.356,0,0.868,0.675,0.073,0.12,8.041e-7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.046,90,15,1013.25,0.001,340.389,0.006,5.881e4,2.5,4.909,0.01,0.005,1.884e-6
0.041,5.157e-4,5.157e-4,0.094,0.094,12.426,12.426,-1.835e-5,0,1.835e-5,270,0.002,0.104,28.61,-80.6,87.389,0,0,0,90,0,71.206,23.047,0.001,1.028e-5,9.792,NaN,25.973,NaN,1.582,2.269,2.578e-7,0.866,0.673,0.073,0.12,2.003e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.069,90,15,1013.25,0.001,340.389,0.006,5.95e4,2.5,4.909,0.01,0.006,1.207e-5
0.051,0.002,0.002,0.263,0.263,21.374,21.374,-4.305e-5,0,4.305e-5,270,0.003,0.107,28.61,-80.6,82.813,0,0,0,90,0,71.17,23.011,0.001,1.028e-5,9.792,NaN,25.967,NaN,2.218,3.183,5.275e-6,0.862,0.67,0.073,0.12,0.004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.09,90,15,1013.25,0.001,340.389,0.006,6.051e4,2.5,4.909,0.01,0.007,3.371e-5
0.061,0.006,0.006,0.522,0.522,30.331,30.331,-7.85e-5,0,7.85e-5,270,0.004,0.112,28.61,-80.6,76.02,0,0,0,90,0,71.135,22.976,0.001,1.028e-5,9.792,NaN,25.961,NaN,2.854,4.098,3.76e-5,0.857,0.665,0.073,0.12,0.027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1,90,15,1013.249,0.001,340.389,0.006,6.211e4,2.5,4.909,0.01,0.008,6.68e-5
0.071,0.013,0.013,0.87,0.87,39.295,39.295,-1.252e-4,0,1.252e-4,270,0.005,0.123,28.61,-80.6,67.538,0,0,0,90,0,71.1,22.941,0.001,1.028e-5,9.792,NaN,25.956,NaN,3.49,5.013,1.539e-4,0.847,0.655,0.072,0.12,0.099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.109,90,15,1013.248,0.001,340.389,0.007,6.547e4,2.5,4.909,0.01,0.008,1.114e-4
# Event LIFTOFF occurred at t=0.081 seconds
0.081,0.024,0.024,1.308,1.308,48.266,48.266,-1.844e-4,0,1.844e-4,270,0.007,0,28.61,-80.6,58.236,0,0,0,90,0,71.064,22.905,0.001,1.028e-5,9.792,NaN,25.95,NaN,4.126,5.93,4.452e-4,0.831,0.64,0.071,0.12,0.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.119,90,15,1013.247,0.001,340.389,0.007,7.144e4,2.5,4.909,0.011,0.009,1.674e-4
